id_produto,nome_produto,categoria,marca,preco,classificacao_media,qtd_avaliacoes,qtd_estoque,desconto_pct,destaque,peso_kg
P0022,PureBrand_Musica #22,Musica,PureBrand,16.22,4.4,82,102,15,0,0.74
P0023,ClassicCo_Roupas #23,Roupas,ClassicCo,39.83,4.0,292,962,40,0,0.12
P0024,EcoLiving_Joias #24,Joias,EcoLiving,133.52,2.7,144,550,0,0,1.33
P0025,PureBrand_Esportes #25,Esportes,PureBrand,46.47,4.5,233,124,0,0,1.67
P0026,PetLife_Saude #26,Saude,PetLife,23.8,5.0,336,293,25,0,3.52
P0027,GlowUp_Joias #27,Joias,GlowUp,89.93,3.3,308,810,25,0,0.43
P0028,SoundWave_Material_Escritorio #28,Material_Escritorio,SoundWave,12.38,3.4,222,526,0,0,1.3
P0029,EcoLiving_Eletronicos #29,Eletronicos,EcoLiving,193.58,2.9,476,703,40,0,1.49
P0030,ReadMore_Roupas #30,Roupas,ReadMore,73.08,3.9,444,489,0,0,0.28
P0031,EcoLiving_Automotivo #31,Automotivo,EcoLiving,43.54,4.7,392,487,15,0,0.53
P0032,ShineOn_Material_Escritorio #32,Material_Escritorio,ShineOn,19.58,3.2,16,883,15,0,0.31
P0033,EcoLiving_Beleza #33,Beleza,EcoLiving,40.46,3.0,261,546,0,0,0.33
P0034,DigiTools_Material_Escritorio #34,Material_Escritorio,DigiTools,19.43,4.8,492,744,40,0,0.67
P0035,StyleMax_Beleza #35,Beleza,StyleMax,60.26,3.4,73,976,25,0,0.5
P0036,ClassicCo_Roupas #36,Roupas,ClassicCo,46.35,3.2,279,456,0,0,0.98
P0037,UrbanStyle_Alimentos #37,Alimentos,UrbanStyle,14.6,3.6,31,765,50,0,1.87
P0038,HomeEssentials_Roupas #38,Roupas,HomeEssentials,90.04,2.6,357,892,0,0,1.81
P0039,WorkSmart_Beleza #39,Beleza,WorkSmart,38.89,3.1,243,989,0,0,2.2
P0040,ShineOn_Alimentos #40,Alimentos,ShineOn,11.91,5.0,121,414,0,0,0.77
P0041,UrbanStyle_Roupas #41,Roupas,UrbanStyle,36.32,4.4,33,113,0,0,0.6
P0042,SoundWave_Joias #42,Joias,SoundWave,83.5,4.5,56,901,5,0,0.29
P0043,PlayTime_Musica #43,Musica,PlayTime,21.4,4.3,490,396,0,0,2.01
P0044,DigiTools_Roupas #44,Roupas,DigiTools,30.63,4.3,426,74,20,0,2.65
P0045,NovaTech_Casa_Jardim #45,Casa_Jardim,NovaTech,116.05,3.7,252,248,0,0,3.5
P0046,WorkSmart_Esportes #46,Esportes,WorkSmart,158.3,3.9,471,862,10,0,1.37
P0047,FitGear_Saude #47,Saude,FitGear,35.22,4.1,80,326,0,0,0.63
P0048,AutoParts_Eletronicos #48,Eletronicos,AutoParts,85.12,3.6,34,607,0,0,0.34
P0049,ReadMore_Pet_Shop #49,Pet_Shop,ReadMore,36.92,4.8,116,967,40,0,0.26
P0050,WellBeing_Automotivo #50,Automotivo,WellBeing,84.53,2.6,220,684,0,0,0.14
P0051,TechPro_Livros #51,Livros,TechPro,20.98,3.5,113,553,0,0,2.8
P0052,StyleMax_Alimentos #52,Alimentos,StyleMax,11.83,4.7,479,355,0,0,1.47
P0053,GlowUp_Casa_Jardim #53,Casa_Jardim,GlowUp,96.65,4.8,256,833,0,0,10.34
P0054,FitGear_Esportes #54,Esportes,FitGear,34.99,3.4,118,754,20,0,0.89
P0055,WorkSmart_Musica #55,Musica,WorkSmart,22.23,4.0,220,9,0,0,1.06
P0056,EcoLiving_Eletronicos #56,Eletronicos,EcoLiving,235.15,4.2,494,435,0,1,1.44
P0057,EcoLiving_Eletronicos #57,Eletronicos,EcoLiving,245.22,5.0,313,522,20,0,1.82
P0058,GlowUp_Alimentos #58,Alimentos,GlowUp,17.8,3.2,50,347,0,0,0.51
P0059,StyleMax_Brinquedos #59,Brinquedos,StyleMax,39.72,4.0,200,956,40,0,0.96
P0060,TechPro_Pet_Shop #60,Pet_Shop,TechPro,14.22,3.5,450,964,0,0,2.16
P0061,FitGear_Roupas #61,Roupas,FitGear,67.2,5.0,337,341,0,0,4.91
P0062,UrbanStyle_Material_Escritorio #62,Material_Escritorio,UrbanStyle,21.98,3.7,311,4,0,0,0.4
P0063,PetLife_Brinquedos #63,Brinquedos,PetLife,22.74,3.3,188,494,0,0,1.22
P0064,StyleMax_Material_Escritorio #64,Material_Escritorio,StyleMax,23.09,4.4,456,660,30,0,1.1
P0065,EcoLiving_Casa_Jardim #65,Casa_Jardim,EcoLiving,67.75,3.4,153,299,0,0,0.76
P0066,FreshMarket_Musica #66,Musica,FreshMarket,18.93,3.9,95,682,0,0,2.75
P0067,SoundWave_Musica #67,Musica,SoundWave,7.47,4.3,20,711,20,0,9.78
P0068,SoundWave_Material_Escritorio #68,Material_Escritorio,SoundWave,21.47,2.4,375,21,0,0,1.44
P0069,EcoLiving_Esportes #69,Esportes,EcoLiving,45.31,3.1,397,8,0,1,0.46
P0070,PureBrand_Esportes #70,Esportes,PureBrand,59.48,5.0,19,566,0,0,0.24
P0071,EcoLiving_Pet_Shop #71,Pet_Shop,EcoLiving,24.36,4.0,251,570,30,0,0.93
P0072,FreshMarket_Casa_Jardim #72,Casa_Jardim,FreshMarket,173.89,3.1,121,829,0,0,2.57
P0073,ReadMore_Beleza #73,Beleza,ReadMore,27.18,3.9,99,111,10,0,0.81
P0074,SoundWave_Roupas #74,Roupas,SoundWave,21.0,2.3,449,420,0,1,1.3
P0075,GlowUp_Alimentos #75,Alimentos,GlowUp,11.43,3.9,229,452,30,0,7.06
P0076,StyleMax_Brinquedos #76,Brinquedos,StyleMax,20.02,4.1,336,660,0,0,1.91
P0077,ClassicCo_Saude #77,Saude,ClassicCo,38.84,3.7,164,504,0,1,1.06
P0078,AutoParts_Joias #78,Joias,AutoParts,71.89,3.4,339,684,10,0,0.26
P0079,DigiTools_Saude #79,Saude,DigiTools,48.06,5.0,107,407,0,0,2.24
P0080,TechPro_Eletronicos #80,Eletronicos,TechPro,198.68,3.7,214,108,0,0,1.75
P0081,PureBrand_Joias #81,Joias,PureBrand,107.45,2.5,332,50,0,0,2.28
P0082,DigiTools_Livros #82,Livros,DigiTools,31.33,3.7,94,54,0,0,0.29
P0083,PureBrand_Esportes #83,Esportes,PureBrand,51.72,4.9,232,557,0,0,0.97
P0084,PetLife_Brinquedos #84,Brinquedos,PetLife,12.84,5.0,262,431,20,0,1.79
P0085,TechPro_Alimentos #85,Alimentos,TechPro,9.44,1.6,215,250,0,0,0.23
P0086,FreshMarket_Joias #86,Joias,FreshMarket,45.2,3.1,129,610,0,0,1.14
P0087,PetLife_Joias #87,Joias,PetLife,67.02,3.7,234,441,0,0,2.96
P0088,EcoLiving_Casa_Jardim #88,Casa_Jardim,EcoLiving,10.35,3.9,126,308,20,0,0.53
P0089,EcoLiving_Esportes #89,Esportes,EcoLiving,76.05,2.9,326,90,10,0,2.88
P0090,ReadMore_Alimentos #90,Alimentos,ReadMore,5.71,4.2,147,121,0,0,1.03
P0091,ShineOn_Livros #91,Livros,ShineOn,21.51,4.5,399,163,20,0,1.1
P0092,NovaTech_Esportes #92,Esportes,NovaTech,36.28,3.1,152,169,5,0,2.68
P0093,StyleMax_Esportes #93,Esportes,StyleMax,43.67,3.8,231,615,50,0,0.51
P0094,FitGear_Esportes #94,Esportes,FitGear,112.77,4.7,251,616,0,0,0.27
P0095,SoundWave_Esportes #95,Esportes,SoundWave,42.76,5.0,271,993,0,0,0.77
P0096,PetLife_Saude #96,Saude,PetLife,21.52,4.6,76,81,0,0,1.39
P0097,AutoParts_Casa_Jardim #97,Casa_Jardim,AutoParts,46.71,3.4,322,981,0,1,1.42
P0098,EcoLiving_Joias #98,Joias,EcoLiving,48.31,4.2,262,729,20,0,1.37
P0099,PetLife_Casa_Jardim #99,Casa_Jardim,PetLife,91.76,3.8,87,114,0,0,0.48
P0100,TechPro_Musica #100,Musica,TechPro,23.7,3.2,316,569,0,0,1.61
P0101,EcoLiving_Eletronicos #101,Eletronicos,EcoLiving,172.1,4.4,385,579,5,0,0.9
P0102,WorkSmart_Software #102,Software,WorkSmart,73.4,4.4,244,102,30,0,4.6
P0103,ReadMore_Livros #103,Livros,ReadMore,20.23,3.8,16,903,0,0,2.43
P0104,WorkSmart_Eletronicos #104,Eletronicos,WorkSmart,174.2,4.8,339,707,0,0,1.68
P0105,FreshMarket_Musica #105,Musica,FreshMarket,20.33,3.6,118,399,0,1,0.83
P0106,AutoParts_Roupas #106,Roupas,AutoParts,39.95,3.7,307,418,20,0,0.7
P0107,StyleMax_Automotivo #107,Automotivo,StyleMax,57.5,4.2,492,804,0,0,0.8
P0108,ReadMore_Pet_Shop #108,Pet_Shop,ReadMore,6.97,4.1,162,611,0,1,1.32
P0109,PetLife_Esportes #109,Esportes,PetLife,43.28,3.1,312,142,10,0,2.66
P0110,PlayTime_Musica #110,Musica,PlayTime,17.85,5.0,426,602,0,0,0.23
P0111,StyleMax_Joias #111,Joias,StyleMax,44.6,4.3,210,985,0,1,0.61
P0112,GlowUp_Eletronicos #112,Eletronicos,GlowUp,302.87,4.0,204,873,0,0,3.48
P0113,GlowUp_Material_Escritorio #113,Material_Escritorio,GlowUp,17.76,3.8,368,643,0,0,0.57
P0114,ClassicCo_Automotivo #114,Automotivo,ClassicCo,97.99,3.9,491,539,0,0,0.43
P0115,EcoLiving_Casa_Jardim #115,Casa_Jardim,EcoLiving,68.27,5.0,195,617,0,1,2.91
P0116,DigiTools_Joias #116,Joias,DigiTools,84.45,4.8,257,275,0,1,1.65
P0117,HomeEssentials_Automotivo #117,Automotivo,HomeEssentials,59.46,4.5,180,581,0,0,1.25
P0118,GlowUp_Material_Escritorio #118,Material_Escritorio,GlowUp,13.86,5.0,105,837,0,0,1.84
P0119,PlayTime_Software #119,Software,PlayTime,21.18,4.3,375,902,0,0,0.75
P0120,WellBeing_Saude #120,Saude,WellBeing,71.94,3.3,11,593,30,1,1.04
P0121,EcoLiving_Roupas #121,Roupas,EcoLiving,52.35,4.6,233,308,0,1,1.1
P0122,ShineOn_Pet_Shop #122,Pet_Shop,ShineOn,15.21,4.2,354,216,30,0,0.72
P0123,EcoLiving_Software #123,Software,EcoLiving,65.51,5.0,235,213,10,0,0.72
P0124,ClassicCo_Material_Escritorio #124,Material_Escritorio,ClassicCo,11.06,4.4,51,232,0,0,0.42
P0125,DigiTools_Brinquedos #125,Brinquedos,DigiTools,33.36,3.9,55,534,0,0,0.61
P0126,GlowUp_Roupas #126,Roupas,GlowUp,55.14,4.8,179,442,25,0,0.64
P0127,PetLife_Alimentos #127,Alimentos,PetLife,8.56,2.5,412,984,10,0,0.15
P0128,WorkSmart_Eletronicos #128,Eletronicos,WorkSmart,89.44,4.4,139,617,0,0,1.83
P0129,SoundWave_Eletronicos #129,Eletronicos,SoundWave,153.69,4.5,173,982,0,0,1.31
P0130,ShineOn_Casa_Jardim #130,Casa_Jardim,ShineOn,62.28,2.9,444,918,10,0,4.41
P0131,SoundWave_Livros #131,Livros,SoundWave,6.76,3.9,282,91,30,0,0.27
P0132,PlayTime_Automotivo #132,Automotivo,PlayTime,55.74,3.5,459,266,0,0,0.36
P0133,WellBeing_Beleza #133,Beleza,WellBeing,56.81,3.7,204,47,0,0,2.55
P0134,FitGear_Pet_Shop #134,Pet_Shop,FitGear,23.77,4.5,261,640,20,0,0.3
P0135,FreshMarket_Software #135,Software,FreshMarket,184.99,3.2,304,808,20,0,0.95
P0136,PureBrand_Joias #136,Joias,PureBrand,110.43,3.8,398,914,0,0,0.78
P0137,HomeEssentials_Pet_Shop #137,Pet_Shop,HomeEssentials,22.39,3.1,263,642,0,0,4.62
P0138,EcoLiving_Material_Escritorio #138,Material_Escritorio,EcoLiving,12.58,4.0,203,237,0,0,0.95
P0139,UrbanStyle_Software #139,Software,UrbanStyle,27.83,4.1,479,625,0,0,0.94
P0140,PetLife_Livros #140,Livros,PetLife,15.96,2.8,157,259,0,0,1.24
P0141,AutoParts_Saude #141,Saude,AutoParts,27.14,3.5,478,699,0,0,0.42
P0142,NovaTech_Musica #142,Musica,NovaTech,15.12,3.6,347,37,0,0,0.6
P0143,EcoLiving_Joias #143,Joias,EcoLiving,97.51,4.1,85,31,0,0,0.33
P0144,NovaTech_Esportes #144,Esportes,NovaTech,35.09,4.6,337,612,0,0,1.91
P0145,AutoParts_Eletronicos #145,Eletronicos,AutoParts,303.85,3.2,446,410,40,0,1.99
P0146,DigiTools_Musica #146,Musica,DigiTools,20.43,3.5,66,137,0,0,0.43
P0147,ShineOn_Joias #147,Joias,ShineOn,66.23,5.0,219,479,10,0,0.77
P0148,EcoLiving_Automotivo #148,Automotivo,EcoLiving,88.88,4.6,442,622,0,0,1.17
P0149,PureBrand_Joias #149,Joias,PureBrand,28.36,3.0,234,658,30,0,0.25
P0150,WellBeing_Material_Escritorio #150,Material_Escritorio,WellBeing,24.06,3.7,269,32,0,1,1.7
P0151,StyleMax_Material_Escritorio #151,Material_Escritorio,StyleMax,23.86,4.1,369,580,0,0,0.34
P0152,WellBeing_Livros #152,Livros,WellBeing,5.32,4.5,33,76,0,0,0.18
P0153,GlowUp_Saude #153,Saude,GlowUp,13.73,4.1,253,755,0,0,1.06
P0154,FitGear_Joias #154,Joias,FitGear,76.48,4.3,17,722,0,0,1.83
P0155,GlowUp_Pet_Shop #155,Pet_Shop,GlowUp,18.09,4.1,359,542,0,0,2.45
P0156,UrbanStyle_Eletronicos #156,Eletronicos,UrbanStyle,193.36,4.0,263,809,0,0,1.58
P0157,ClassicCo_Eletronicos #157,Eletronicos,ClassicCo,204.42,2.7,209,632,0,0,0.51
P0158,PlayTime_Joias #158,Joias,PlayTime,192.56,3.6,205,596,0,0,6.35
P0159,HomeEssentials_Livros #159,Livros,HomeEssentials,12.48,4.8,361,5,50,0,1.07
P0160,SoundWave_Automotivo #160,Automotivo,SoundWave,107.91,4.7,403,190,0,0,0.4
P0161,UrbanStyle_Software #161,Software,UrbanStyle,39.32,3.8,245,636,20,0,2.63
P0162,PureBrand_Alimentos #162,Alimentos,PureBrand,14.51,3.6,418,946,0,0,1.34
P0163,HomeEssentials_Esportes #163,Esportes,HomeEssentials,40.44,3.2,55,511,0,0,7.63
P0164,SoundWave_Software #164,Software,SoundWave,25.76,3.1,402,991,0,0,4.7
P0165,PureBrand_Roupas #165,Roupas,PureBrand,32.93,4.6,299,413,0,0,0.67
P0166,UrbanStyle_Alimentos #166,Alimentos,UrbanStyle,14.44,3.5,96,133,0,0,0.29
P0167,HomeEssentials_Saude #167,Saude,HomeEssentials,19.5,4.0,337,696,5,0,0.61
P0168,StyleMax_Eletronicos #168,Eletronicos,StyleMax,206.95,5.0,348,718,0,0,0.1
P0169,TechPro_Beleza #169,Beleza,TechPro,35.03,3.9,123,2,20,1,1.04
P0170,SoundWave_Roupas #170,Roupas,SoundWave,52.98,3.4,483,879,30,0,2.67
P0171,NovaTech_Joias #171,Joias,NovaTech,129.62,4.7,333,769,0,0,1.02
P0172,SoundWave_Brinquedos #172,Brinquedos,SoundWave,68.73,4.9,75,589,0,0,1.61
P0173,NovaTech_Material_Escritorio #173,Material_Escritorio,NovaTech,10.52,2.2,497,886,0,0,2.16
P0174,ReadMore_Software #174,Software,ReadMore,41.11,4.8,404,727,25,0,4.45
P0175,AutoParts_Software #175,Software,AutoParts,48.31,3.1,241,113,25,0,1.18
P0176,TechPro_Eletronicos #176,Eletronicos,TechPro,154.57,5.0,446,660,0,1,0.8
P0177,ShineOn_Saude #177,Saude,ShineOn,62.45,5.0,156,354,10,0,0.57
P0178,NovaTech_Eletronicos #178,Eletronicos,NovaTech,370.61,4.1,100,985,0,0,4.97
P0179,ReadMore_Automotivo #179,Automotivo,ReadMore,243.69,3.3,85,868,0,0,0.55
P0180,PureBrand_Software #180,Software,PureBrand,46.35,4.7,350,710,0,0,6.37
P0181,PureBrand_Alimentos #181,Alimentos,PureBrand,6.72,4.1,98,62,40,0,0.72
P0182,EcoLiving_Automotivo #182,Automotivo,EcoLiving,70.97,3.4,111,908,0,0,0.43
P0183,UrbanStyle_Eletronicos #183,Eletronicos,UrbanStyle,122.74,4.4,113,227,0,0,1.53
P0184,StyleMax_Eletronicos #184,Eletronicos,StyleMax,301.53,3.1,308,789,10,0,1.28
P0185,ClassicCo_Eletronicos #185,Eletronicos,ClassicCo,290.35,4.2,180,805,0,0,0.19
P0186,PlayTime_Automotivo #186,Automotivo,PlayTime,117.15,4.2,215,496,15,0,2.01
P0187,UrbanStyle_Pet_Shop #187,Pet_Shop,UrbanStyle,70.8,4.4,12,357,0,0,0.16
P0188,DigiTools_Material_Escritorio #188,Material_Escritorio,DigiTools,20.08,4.8,219,206,0,0,6.13
P0189,PetLife_Pet_Shop #189,Pet_Shop,PetLife,18.07,3.4,238,338,10,0,0.24
P0190,ClassicCo_Casa_Jardim #190,Casa_Jardim,ClassicCo,58.5,3.5,63,75,0,0,1.34
P0191,PlayTime_Livros #191,Livros,PlayTime,9.2,3.8,443,398,50,0,1.72
P0192,HomeEssentials_Roupas #192,Roupas,HomeEssentials,31.78,4.5,479,417,0,0,2.62
P0193,PureBrand_Material_Escritorio #193,Material_Escritorio,PureBrand,20.08,3.6,233,967,0,0,0.24
P0194,NovaTech_Beleza #194,Beleza,NovaTech,38.3,2.5,13,457,0,0,1.69
P0195,FreshMarket_Esportes #195,Esportes,FreshMarket,32.87,3.6,254,57,0,1,0.34
P0196,EcoLiving_Automotivo #196,Automotivo,EcoLiving,41.38,3.9,38,145,0,0,1.28
P0197,PureBrand_Pet_Shop #197,Pet_Shop,PureBrand,35.62,3.2,285,367,0,1,0.14
P0198,FitGear_Alimentos #198,Alimentos,FitGear,7.72,1.9,113,301,0,0,1.69
P0199,FitGear_Joias #199,Joias,FitGear,96.71,4.2,487,361,0,0,3.7
P0200,ClassicCo_Joias #200,Joias,ClassicCo,159.01,3.0,252,445,5,0,0.75
P0201,PetLife_Brinquedos #201,Brinquedos,PetLife,37.39,4.6,145,979,0,0,1.1
P0202,TechPro_Livros #202,Livros,TechPro,20.12,5.0,317,47,0,0,1.86
P0203,PetLife_Saude #203,Saude,PetLife,60.17,3.3,479,287,0,0,1.4
P0204,HomeEssentials_Material_Escritorio #204,Material_Escritorio,HomeEssentials,22.48,4.1,109,328,0,0,0.2
P0205,GlowUp_Beleza #205,Beleza,GlowUp,17.21,4.0,381,944,0,0,0.3
P0206,PureBrand_Musica #206,Musica,PureBrand,61.45,2.8,459,642,0,0,0.67
P0207,GlowUp_Alimentos #207,Alimentos,GlowUp,14.95,1.9,221,403,15,1,1.12
P0208,PlayTime_Casa_Jardim #208,Casa_Jardim,PlayTime,75.93,2.9,464,34,0,0,0.62
P0209,EcoLiving_Pet_Shop #209,Pet_Shop,EcoLiving,27.23,3.6,421,456,0,0,1.1
P0210,AutoParts_Brinquedos #210,Brinquedos,AutoParts,10.65,5.0,259,862,0,0,2.74
P0211,PlayTime_Roupas #211,Roupas,PlayTime,29.04,4.3,477,676,15,0,0.7
P0212,NovaTech_Automotivo #212,Automotivo,NovaTech,181.22,3.3,88,926,5,0,0.33
P0213,SoundWave_Eletronicos #213,Eletronicos,SoundWave,76.22,3.3,469,480,0,1,1.65
P0214,WorkSmart_Saude #214,Saude,WorkSmart,32.94,3.3,153,282,0,0,3.41
P0215,WellBeing_Automotivo #215,Automotivo,WellBeing,91.39,2.5,225,216,0,0,1.33
P0216,StyleMax_Saude #216,Saude,StyleMax,29.32,3.1,149,608,0,0,0.63
P0217,ReadMore_Pet_Shop #217,Pet_Shop,ReadMore,68.63,4.4,454,839,0,0,0.84
P0218,NovaTech_Eletronicos #218,Eletronicos,NovaTech,92.55,3.8,143,578,5,0,0.62
P0219,GlowUp_Automotivo #219,Automotivo,GlowUp,55.53,3.7,351,282,0,0,1.34
P0220,EcoLiving_Automotivo #220,Automotivo,EcoLiving,93.84,4.7,263,617,0,0,0.12
P0221,PlayTime_Casa_Jardim #221,Casa_Jardim,PlayTime,73.06,3.1,38,857,0,1,1.1
P0222,PlayTime_Software #222,Software,PlayTime,52.5,4.3,382,595,0,0,0.84
P0223,GlowUp_Alimentos #223,Alimentos,GlowUp,13.72,2.9,18,968,0,0,2.46
P0224,StyleMax_Saude #224,Saude,StyleMax,25.41,4.5,90,262,0,0,0.24
P0225,HomeEssentials_Brinquedos #225,Brinquedos,HomeEssentials,21.06,3.9,199,533,25,0,0.32
P0226,TechPro_Automotivo #226,Automotivo,TechPro,47.27,3.9,218,239,0,0,1.42
P0227,TechPro_Software #227,Software,TechPro,60.95,3.9,322,174,0,0,3.68
P0228,EcoLiving_Eletronicos #228,Eletronicos,EcoLiving,85.26,4.4,30,116,5,0,0.87
P0229,EcoLiving_Saude #229,Saude,EcoLiving,17.65,3.1,447,162,20,0,0.79
P0230,PlayTime_Pet_Shop #230,Pet_Shop,PlayTime,38.73,4.6,23,319,0,0,0.46
P0231,GlowUp_Alimentos #231,Alimentos,GlowUp,8.92,3.6,18,851,0,0,1.04
P0232,FreshMarket_Joias #232,Joias,FreshMarket,300.23,4.4,369,197,15,1,0.38
P0233,ClassicCo_Beleza #233,Beleza,ClassicCo,23.76,4.3,135,283,0,0,0.27
P0234,EcoLiving_Joias #234,Joias,EcoLiving,71.49,3.4,123,731,30,0,1.72
P0235,TechPro_Beleza #235,Beleza,TechPro,57.91,4.4,373,494,0,0,0.42
P0236,EcoLiving_Material_Escritorio #236,Material_Escritorio,EcoLiving,32.6,3.2,302,653,0,1,1.95
P0237,EcoLiving_Casa_Jardim #237,Casa_Jardim,EcoLiving,54.38,2.7,181,784,0,0,0.94
P0238,WorkSmart_Roupas #238,Roupas,WorkSmart,42.95,4.0,157,461,0,0,2.66
P0239,GlowUp_Saude #239,Saude,GlowUp,57.82,5.0,301,55,0,0,0.34
P0240,DigiTools_Esportes #240,Esportes,DigiTools,55.29,3.5,430,465,0,0,2.22
P0241,SoundWave_Material_Escritorio #241,Material_Escritorio,SoundWave,16.92,4.2,199,433,0,0,1.01
P0242,ShineOn_Esportes #242,Esportes,ShineOn,45.59,4.5,215,941,5,0,0.23
P0243,SoundWave_Roupas #243,Roupas,SoundWave,120.62,3.1,103,670,0,0,0.49
P0244,StyleMax_Saude #244,Saude,StyleMax,29.94,3.3,265,618,0,0,0.5
P0245,FitGear_Brinquedos #245,Brinquedos,FitGear,21.35,4.8,30,574,0,0,1.48
P0246,DigiTools_Musica #246,Musica,DigiTools,17.63,4.3,406,382,0,0,0.39
P0247,FitGear_Pet_Shop #247,Pet_Shop,FitGear,25.77,3.9,268,406,0,1,0.29
P0248,StyleMax_Software #248,Software,StyleMax,34.52,2.5,144,231,0,0,0.67
P0249,ClassicCo_Casa_Jardim #249,Casa_Jardim,ClassicCo,133.31,3.5,92,352,10,0,2.52
P0250,DigiTools_Beleza #250,Beleza,DigiTools,24.99,4.2,132,726,0,0,1.13
P0251,FitGear_Pet_Shop #251,Pet_Shop,FitGear,32.15,1.3,34,79,0,0,0.75
P0252,NovaTech_Livros #252,Livros,NovaTech,34.15,4.4,477,543,30,1,1.8
P0253,HomeEssentials_Brinquedos #253,Brinquedos,HomeEssentials,21.21,4.7,154,605,0,0,0.38
P0254,ShineOn_Roupas #254,Roupas,ShineOn,55.16,5.0,461,144,0,0,5.98
P0255,SoundWave_Roupas #255,Roupas,SoundWave,24.47,4.8,463,58,0,0,5.27
P0256,WorkSmart_Livros #256,Livros,WorkSmart,10.23,4.1,7,430,30,0,0.62
P0257,FitGear_Software #257,Software,FitGear,53.97,4.6,280,521,0,0,1.09
P0258,TechPro_Eletronicos #258,Eletronicos,TechPro,165.02,3.7,396,188,30,0,0.89
P0259,DigiTools_Casa_Jardim #259,Casa_Jardim,DigiTools,88.17,3.6,119,133,0,0,0.59
P0260,ClassicCo_Brinquedos #260,Brinquedos,ClassicCo,19.5,4.2,489,297,50,0,2.47
P0261,AutoParts_Eletronicos #261,Eletronicos,AutoParts,177.15,3.3,309,39,40,0,0.23
P0262,PlayTime_Casa_Jardim #262,Casa_Jardim,PlayTime,44.34,3.5,392,619,0,0,0.68
P0263,FreshMarket_Alimentos #263,Alimentos,FreshMarket,21.12,5.0,385,487,0,1,1.64
P0264,EcoLiving_Musica #264,Musica,EcoLiving,16.47,3.2,70,587,0,0,4.66
P0265,StyleMax_Casa_Jardim #265,Casa_Jardim,StyleMax,43.86,4.0,425,305,0,0,3.83
P0266,PureBrand_Livros #266,Livros,PureBrand,9.8,2.5,60,599,0,1,0.49
P0267,GlowUp_Eletronicos #267,Eletronicos,GlowUp,117.13,3.3,495,488,0,0,0.45
P0268,PureBrand_Casa_Jardim #268,Casa_Jardim,PureBrand,85.43,3.3,314,958,0,0,0.64
P0269,GlowUp_Saude #269,Saude,GlowUp,33.89,3.7,308,163,20,0,4.09
P0270,WorkSmart_Roupas #270,Roupas,WorkSmart,197.49,3.3,475,447,0,0,1.47
P0271,DigiTools_Roupas #271,Roupas,DigiTools,34.52,3.6,216,966,0,0,16.86
P0272,FitGear_Casa_Jardim #272,Casa_Jardim,FitGear,27.83,3.4,249,944,0,0,1.84
P0273,WellBeing_Software #273,Software,WellBeing,45.27,3.6,339,13,0,0,5.27
P0274,FreshMarket_Software #274,Software,FreshMarket,156.04,2.7,111,340,0,0,0.89
P0275,NovaTech_Joias #275,Joias,NovaTech,107.96,2.7,55,135,0,0,0.43
